[2025-11-24 02:06:04] [INFO    ] discord.client: logging in using static token
[2025-11-24 02:06:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-24 02:06:05] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-24 02:06:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1442099200765460490', 'username': 'Kitty', 'avatar': '5754e23ddd8548f51f4c01db679288b9', 'discriminator': '6468', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '8e2b34a3ce0685b8b994a7ba60143e4f', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-24 02:06:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-24 02:06:05] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-24 02:06:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1442099200765460490', 'name': 'Kitty', 'icon': '5754e23ddd8548f51f4c01db679288b9', 'description': 'just a lil cute kitty <3\nmade by @aromaks\n- i suck at python qnq', 'type': None, 'cover_image': 'f40bc93c6b370c65b25d093e4563aeec', 'bot': {'id': '1442099200765460490', 'username': 'Kitty', 'avatar': '5754e23ddd8548f51f4c01db679288b9', 'discriminator': '6468', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '8e2b34a3ce0685b8b994a7ba60143e4f', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '2f3bfb67c176f38a42046ae1895eefa2dea5c42b94fde8280d77f4c9c4c2bee6', 'flags': 565248, 'tags': ['cute', 'cat', 'silly'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '956678550168150026', 'username': 'aromaks', 'avatar': 'ac980d37271bbc2b803193cf1c739296', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': 'aa9f9802f7ad0f3482b2a2724ee26ba8', 'accent_color': 0, 'global_name': 'miś', 'avatar_decoration_data': {'asset': 'a_fb1fab5c0a30f0a89a7cd5fad873c6f0', 'sku_id': '1343751620965564426', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1417311919555215471', 'asset': 'nameplates/nameplate_bonanza/starlight_whales/', 'label': 'COLLECTIBLES_NAMEPLATE_BONANZA_STARLIGHT_WHALES_NP_A11Y', 'palette': 'violet'}}, 'display_name_styles': {'font_id': 12, 'effect_id': 2, 'colors': [2846242, 13429418]}, 'banner_color': '#000000', 'clan': {'identity_guild_id': '811518342070272071', 'identity_enabled': True, 'tag': 'meow', 'badge': '2edd62f1d706f37e085a6cbaa899c52e'}, 'primary_guild': {'identity_guild_id': '811518342070272071', 'identity_enabled': True, 'tag': 'meow', 'badge': '2edd62f1d706f37e085a6cbaa899c52e'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2278, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 3, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-24 02:06:05] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-24 02:06:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-m4rq",{"micros":0.0}]']}}
[2025-11-24 02:06:05] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-24 02:06:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-24 02:06:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Kitty', 'primary_guild': None, 'mfa_enabled': True, 'id': '1442099200765460490', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6468', 'clan': None, 'bot': True, 'avatar': '5754e23ddd8548f51f4c01db679288b9'}, 'session_type': 'normal', 'session_id': 'dffecba02e75e313f6bd77d19888b6b6', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1349781712439083108'}, {'unavailable': True, 'id': '1402050481366237204'}, {'unavailable': True, 'id': '1432880893936140450'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['london', 'rotterdam', 'paris', 'frankfurt', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1442099200765460490', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-m4rq",{"micros":220403,"calls":["id_created",{"micros":538,"calls":[]},"session_lookup_time",{"micros":279,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-109",{"micros":219204,"calls":["start_session",{"micros":209317,"calls":["discord-api-rpc-78c45df8dd-fjfh5",{"micros":125074,"calls":["get_user",{"micros":26295},"get_guilds",{"micros":21223},"send_scheduled_deletion_message",{"micros":9},"guild_join_requests",{"micros":1653},"authorized_ip_coro",{"micros":7},"pending_payments",{"micros":59862},"apex_experiments",{"micros":7366},"user_activities",{"micros":6},"played_application_ids",{"micros":3},"linked_users",{"micros":10}]}]},"starting_guild_connect",{"micros":31,"calls":[]},"presence_started",{"micros":276,"calls":[]},"guilds_started",{"micros":96,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":9418,"calls":[]},"connect_finished",{"micros":9425,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":44,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-24 02:06:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-24 02:06:06] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: dffecba02e75e313f6bd77d19888b6b6).
[2025-11-24 02:06:06] [DEBUG   ] discord.client: Dispatching event connect
